"Datum","Year","Sesson","Sum(Sum(SA_Nächtigungen))"
"2002-12-01",2002,"Winter_Haupt",8632525
"2003-01-01",2003,"Winter_Haupt",12558610
"2003-02-01",2003,"Winter_Haupt",14351621
"2003-03-01",2003,"Winter_Haupt",11947651
"2003-04-01",2003,"Übergang",6428052
"2003-05-01",2003,"Sommer_Neben",5872467
"2003-06-01",2003,"Sommer_Neben",8976942
"2003-07-01",2003,"Sommer_Haupt",13691367
"2003-08-01",2003,"Sommer_Haupt",17790411
"2003-09-01",2003,"Sommer_Neben",9206279
"2003-10-01",2003,"Übergang",5558717
"2003-11-01",2003,"Übergang",3068894
"2003-12-01",2003,"Winter_Haupt",8515365
"2004-01-01",2004,"Winter_Haupt",12481210
"2004-02-01",2004,"Winter_Haupt",15785725
"2004-03-01",2004,"Winter_Haupt",11362805
"2004-04-01",2004,"Übergang",6886592
"2004-05-01",2004,"Sommer_Neben",6155760
"2004-06-01",2004,"Sommer_Neben",8518179
"2004-07-01",2004,"Sommer_Haupt",13557620
"2004-08-01",2004,"Sommer_Haupt",17078434
"2004-09-01",2004,"Sommer_Neben",9104940
"2004-10-01",2004,"Übergang",5407741
"2004-11-01",2004,"Übergang",3119155
"2004-12-01",2004,"Winter_Haupt",7792653
"2005-01-01",2005,"Winter_Haupt",13672902
"2005-02-01",2005,"Winter_Haupt",15280433
"2005-03-01",2005,"Winter_Haupt",14567987
"2005-04-01",2005,"Übergang",4761346
"2005-05-01",2005,"Sommer_Neben",6485192
"2005-06-01",2005,"Sommer_Neben",7954441
"2005-07-01",2005,"Sommer_Haupt",13762974
"2005-08-01",2005,"Sommer_Haupt",16670756
"2005-09-01",2005,"Sommer_Neben",9019138
"2005-10-01",2005,"Übergang",5685797
"2005-11-01",2005,"Übergang",3158067
"2005-12-01",2005,"Winter_Haupt",8221912
"2006-01-01",2006,"Winter_Haupt",13467099
"2006-02-01",2006,"Winter_Haupt",15424530
"2006-03-01",2006,"Winter_Haupt",12479283
"2006-04-01",2006,"Übergang",7187280
"2006-05-01",2006,"Sommer_Neben",5817909
"2006-06-01",2006,"Sommer_Neben",8575799
"2006-07-01",2006,"Sommer_Haupt",13858568
"2006-08-01",2006,"Sommer_Haupt",15373023
"2006-09-01",2006,"Sommer_Neben",9426190
"2006-10-01",2006,"Übergang",5930299
"2006-11-01",2006,"Übergang",3306606
"2006-12-01",2006,"Winter_Haupt",8556538
"2007-01-01",2007,"Winter_Haupt",13024098
"2007-02-01",2007,"Winter_Haupt",15541398
"2007-03-01",2007,"Winter_Haupt",11786861
"2007-04-01",2007,"Übergang",7167148
"2007-05-01",2007,"Sommer_Neben",6105886
"2007-06-01",2007,"Sommer_Neben",8824342
"2007-07-01",2007,"Sommer_Haupt",14742763
"2007-08-01",2007,"Sommer_Haupt",15841836
"2007-09-01",2007,"Sommer_Neben",9330374
"2007-10-01",2007,"Übergang",6101475
"2007-11-01",2007,"Übergang",3614714
"2007-12-01",2007,"Winter_Haupt",9368491
"2008-01-01",2008,"Winter_Haupt",13708035
"2008-02-01",2008,"Winter_Haupt",16891321
"2008-03-01",2008,"Winter_Haupt",14817637
"2008-04-01",2008,"Übergang",4913435
"2008-05-01",2008,"Sommer_Neben",7109574
"2008-06-01",2008,"Sommer_Neben",8531867
"2008-07-01",2008,"Sommer_Haupt",15268356
"2008-08-01",2008,"Sommer_Haupt",15986766
"2008-09-01",2008,"Sommer_Neben",9321150
"2008-10-01",2008,"Übergang",6194151
"2008-11-01",2008,"Übergang",3624128
"2008-12-01",2008,"Winter_Haupt",10352212
"2009-01-01",2009,"Winter_Haupt",14097527
"2009-02-01",2009,"Winter_Haupt",16092409
"2009-03-01",2009,"Winter_Haupt",11173817
"2009-04-01",2009,"Übergang",7560486
"2009-05-01",2009,"Sommer_Neben",6292516
"2009-06-01",2009,"Sommer_Neben",8577668
"2009-07-01",2009,"Sommer_Haupt",14519650
"2009-08-01",2009,"Sommer_Haupt",16695239
"2009-09-01",2009,"Sommer_Neben",9498362
"2009-10-01",2009,"Übergang",6090811
"2009-11-01",2009,"Übergang",3560562
"2009-12-01",2009,"Winter_Haupt",10147920
"2010-01-01",2010,"Winter_Haupt",13873305
"2010-02-01",2010,"Winter_Haupt",15900667
"2010-03-01",2010,"Winter_Haupt",12613962
"2010-04-01",2010,"Übergang",6598790
"2010-05-01",2010,"Sommer_Neben",6509304
"2010-06-01",2010,"Sommer_Neben",8407997
"2010-07-01",2010,"Sommer_Haupt",14945597
"2010-08-01",2010,"Sommer_Haupt",16773614
"2010-09-01",2010,"Sommer_Neben",9573457
"2010-10-01",2010,"Übergang",6265895
"2010-11-01",2010,"Übergang",3841399
"2010-12-01",2010,"Winter_Haupt",9576105
"2011-01-01",2011,"Winter_Haupt",14411086
"2011-02-01",2011,"Winter_Haupt",14835518
"2011-03-01",2011,"Winter_Haupt",12997147
"2011-04-01",2011,"Übergang",6401322
"2011-05-01",2011,"Sommer_Neben",5774356
"2011-06-01",2011,"Sommer_Neben",9752460
"2011-07-01",2011,"Sommer_Haupt",14900164
"2011-08-01",2011,"Sommer_Haupt",17201037
"2011-09-01",2011,"Sommer_Neben",9861609
"2011-10-01",2011,"Übergang",6516964
"2011-11-01",2011,"Übergang",3982511
"2011-12-01",2011,"Winter_Haupt",9367807
"2012-01-01",2012,"Winter_Haupt",14691053
"2012-02-01",2012,"Winter_Haupt",16648922
"2012-03-01",2012,"Winter_Haupt",12168100
"2012-04-01",2012,"Übergang",7450195
"2012-05-01",2012,"Sommer_Neben",6757252
"2012-06-01",2012,"Sommer_Neben",9316980
"2012-07-01",2012,"Sommer_Haupt",15201094
"2012-08-01",2012,"Sommer_Haupt",17531141
"2012-09-01",2012,"Sommer_Neben",10237620
"2012-10-01",2012,"Übergang",6655047
"2012-11-01",2012,"Übergang",4167266
"2012-12-01",2012,"Winter_Haupt",10191281
"2013-01-01",2013,"Winter_Haupt",14337139
"2013-02-01",2013,"Winter_Haupt",17087170
"2013-03-01",2013,"Winter_Haupt",14113258
"2013-04-01",2013,"Übergang",5662694
"2013-05-01",2013,"Sommer_Neben",7163568
"2013-06-01",2013,"Sommer_Neben",8813317
"2013-07-01",2013,"Sommer_Haupt",15476393
"2013-08-01",2013,"Sommer_Haupt",18175126
"2013-09-01",2013,"Sommer_Neben",10051922
"2013-10-01",2013,"Übergang",6780680
"2013-11-01",2013,"Übergang",4253923
"2013-12-01",2013,"Winter_Haupt",10713790
"2014-01-01",2014,"Winter_Haupt",13890428
"2014-02-01",2014,"Winter_Haupt",15560473
"2014-03-01",2014,"Winter_Haupt",13143730
"2014-04-01",2014,"Übergang",6930938
"2014-05-01",2014,"Sommer_Neben",6671123
"2014-06-01",2014,"Sommer_Neben",10103768
"2014-07-01",2014,"Sommer_Haupt",14785517
"2014-08-01",2014,"Sommer_Haupt",18513442
"2014-09-01",2014,"Sommer_Neben",10063970
"2014-10-01",2014,"Übergang",7075664
"2014-11-01",2014,"Übergang",4290243
"2014-12-01",2014,"Winter_Haupt",10871416
"2015-01-01",2015,"Winter_Haupt",13915727
"2015-02-01",2015,"Winter_Haupt",17226577
"2015-03-01",2015,"Winter_Haupt",12492010
"2015-04-01",2015,"Übergang",7102335
"2015-05-01",2015,"Sommer_Neben",7306144
"2015-06-01",2015,"Sommer_Neben",9863136
"2015-07-01",2015,"Sommer_Haupt",15934849
"2015-08-01",2015,"Sommer_Haupt",18867035
"2015-09-01",2015,"Sommer_Neben",10553225
"2015-10-01",2015,"Übergang",6902076
"2015-11-01",2015,"Übergang",4542346
"2015-12-01",2015,"Winter_Haupt",10543929
"2016-01-01",2016,"Winter_Haupt",14229334
"2016-02-01",2016,"Winter_Haupt",17797200
"2016-03-01",2016,"Winter_Haupt",15581922
"2016-04-01",2016,"Übergang",5832169
"2016-05-01",2016,"Sommer_Neben",8025225
"2016-06-01",2016,"Sommer_Neben",9304475
"2016-07-01",2016,"Sommer_Haupt",17056837
"2016-08-01",2016,"Sommer_Haupt",19828632
"2016-09-01",2016,"Sommer_Neben",11130598
"2016-10-01",2016,"Übergang",7605206
"2016-11-01",2016,"Übergang",4666449
"2016-12-01",2016,"Winter_Haupt",9818895
"2017-01-01",2017,"Winter_Haupt",14602547
"2017-02-01",2017,"Winter_Haupt",17280437
"2017-03-01",2017,"Winter_Haupt",13874964
"2017-04-01",2017,"Übergang",8348515
"2017-05-01",2017,"Sommer_Neben",7163569
"2017-06-01",2017,"Sommer_Neben",11271817
"2017-07-01",2017,"Sommer_Haupt",17695087
"2017-08-01",2017,"Sommer_Haupt",19977268
"2017-09-01",2017,"Sommer_Neben",11091392
"2017-10-01",2017,"Übergang",7787933
"2017-11-01",2017,"Übergang",4843712
"2017-12-01",2017,"Winter_Haupt",10562871
"2018-01-01",2018,"Winter_Haupt",15424579
"2018-02-01",2018,"Winter_Haupt",18206461
"2018-03-01",2018,"Winter_Haupt",15523213
"2018-04-01",2018,"Übergang",7278028
"2018-05-01",2018,"Sommer_Neben",8504863
"2018-06-01",2018,"Sommer_Neben",10777905
"2018-07-01",2018,"Sommer_Haupt",18361758
"2018-08-01",2018,"Sommer_Haupt",19766142
"2018-09-01",2018,"Sommer_Neben",11288113
"2018-10-01",2018,"Übergang",8048140
"2018-11-01",2018,"Übergang",5227899
"2018-12-01",2018,"Winter_Haupt",11412233
"2019-01-01",2019,"Winter_Haupt",15156391
"2019-02-01",2019,"Winter_Haupt",17862768
"2019-03-01",2019,"Winter_Haupt",14979370
"2019-04-01",2019,"Übergang",8276601
"2019-05-01",2019,"Sommer_Neben",7465251
"2019-06-01",2019,"Sommer_Neben",12610524
"2019-07-01",2019,"Sommer_Haupt",18754000
"2019-08-01",2019,"Sommer_Haupt",20194697
"2019-09-01",2019,"Sommer_Neben",11428432
"2019-10-01",2019,"Übergang",8521969
"2019-11-01",2019,"Übergang",5301369
"2019-12-01",2019,"Winter_Haupt",12157712
"2020-01-01",2020,"Winter_Haupt",16042908
"2020-02-01",2020,"Winter_Haupt",19733690
"2020-03-01",2020,"Winter_Haupt",6196039
"2020-04-01",2020,"Übergang",249868
"2020-05-01",2020,"Sommer_Neben",770115
"2020-06-01",2020,"Sommer_Neben",5246626
"2020-07-01",2020,"Sommer_Haupt",15574200
"2020-08-01",2020,"Sommer_Haupt",17994407
"2020-09-01",2020,"Sommer_Neben",9895421
"2020-10-01",2020,"Übergang",4347704
"2020-11-01",2020,"Übergang",1074796
"2020-12-01",2020,"Winter_Haupt",747222
"2021-01-01",2021,"Winter_Haupt",756931
"2021-02-01",2021,"Winter_Haupt",866669
"2021-03-01",2021,"Winter_Haupt",1079879
"2021-04-01",2021,"Übergang",1036434
"2021-05-01",2021,"Sommer_Neben",2913804
"2021-06-01",2021,"Sommer_Neben",7441813
"2021-07-01",2021,"Sommer_Haupt",15574909
"2021-08-01",2021,"Sommer_Haupt",20765380
