"SA_Bundesland(AT)","SA_Datum","Sum(SA_Nächtigungen)","Month","Year","Sesson"
"Burgenland","1999-12-01",62294,12,1999,"Winter_Haupt"
"Burgenland","2000-01-01",74076,1,2000,"Winter_Haupt"
"Burgenland","2000-02-01",77041,2,2000,"Winter_Haupt"
"Burgenland","2000-03-01",87164,3,2000,"Winter_Haupt"
"Burgenland","2000-04-01",155926,4,2000,"Übergang"
"Burgenland","2000-05-01",230649,5,2000,"Sommer_Neben"
"Burgenland","2000-06-01",313601,6,2000,"Sommer_Neben"
"Burgenland","2000-07-01",405602,7,2000,"Sommer_Haupt"
"Burgenland","2000-08-01",523077,8,2000,"Sommer_Haupt"
"Burgenland","2000-09-01",242471,9,2000,"Sommer_Neben"
"Burgenland","2000-10-01",155471,10,2000,"Übergang"
"Burgenland","2000-11-01",104713,11,2000,"Übergang"
"Burgenland","2000-12-01",64828,12,2000,"Winter_Haupt"
"Burgenland","2001-01-01",78144,1,2001,"Winter_Haupt"
"Burgenland","2001-02-01",80791,2,2001,"Winter_Haupt"
"Burgenland","2001-03-01",100178,3,2001,"Winter_Haupt"
"Burgenland","2001-04-01",166924,4,2001,"Übergang"
"Burgenland","2001-05-01",237053,5,2001,"Sommer_Neben"
"Burgenland","2001-06-01",295920,6,2001,"Sommer_Neben"
"Burgenland","2001-07-01",395840,7,2001,"Sommer_Haupt"
"Burgenland","2001-08-01",509188,8,2001,"Sommer_Haupt"
"Burgenland","2001-09-01",223485,9,2001,"Sommer_Neben"
"Burgenland","2001-10-01",166548,10,2001,"Übergang"
"Burgenland","2001-11-01",117360,11,2001,"Übergang"
"Burgenland","2001-12-01",63755,12,2001,"Winter_Haupt"
"Burgenland","2002-01-01",77763,1,2002,"Winter_Haupt"
"Burgenland","2002-02-01",86459,2,2002,"Winter_Haupt"
"Burgenland","2002-03-01",118074,3,2002,"Winter_Haupt"
"Burgenland","2002-04-01",144806,4,2002,"Übergang"
"Burgenland","2002-05-01",298224,5,2002,"Sommer_Neben"
"Burgenland","2002-06-01",267871,6,2002,"Sommer_Neben"
"Burgenland","2002-07-01",397927,7,2002,"Sommer_Haupt"
"Burgenland","2002-08-01",501562,8,2002,"Sommer_Haupt"
"Burgenland","2002-09-01",241422,9,2002,"Sommer_Neben"
"Burgenland","2002-10-01",157643,10,2002,"Übergang"
"Burgenland","2002-11-01",114179,11,2002,"Übergang"
"Burgenland","2002-12-01",63632,12,2002,"Winter_Haupt"
"Burgenland","2003-01-01",83229,1,2003,"Winter_Haupt"
"Burgenland","2003-02-01",87038,2,2003,"Winter_Haupt"
"Burgenland","2003-03-01",100152,3,2003,"Winter_Haupt"
"Burgenland","2003-04-01",161767,4,2003,"Übergang"
"Burgenland","2003-05-01",258746,5,2003,"Sommer_Neben"
"Burgenland","2003-06-01",304284,6,2003,"Sommer_Neben"
"Burgenland","2003-07-01",388321,7,2003,"Sommer_Haupt"
"Burgenland","2003-08-01",492406,8,2003,"Sommer_Haupt"
"Burgenland","2003-09-01",236828,9,2003,"Sommer_Neben"
"Burgenland","2003-10-01",159138,10,2003,"Übergang"
"Burgenland","2003-11-01",120160,11,2003,"Übergang"
"Burgenland","2003-12-01",80452,12,2003,"Winter_Haupt"
"Burgenland","2004-01-01",82461,1,2004,"Winter_Haupt"
"Burgenland","2004-02-01",86105,2,2004,"Winter_Haupt"
"Burgenland","2004-03-01",99942,3,2004,"Winter_Haupt"
"Burgenland","2004-04-01",154617,4,2004,"Übergang"
"Burgenland","2004-05-01",248539,5,2004,"Sommer_Neben"
"Burgenland","2004-06-01",253211,6,2004,"Sommer_Neben"
"Burgenland","2004-07-01",367812,7,2004,"Sommer_Haupt"
"Burgenland","2004-08-01",482417,8,2004,"Sommer_Haupt"
"Burgenland","2004-09-01",245676,9,2004,"Sommer_Neben"
"Burgenland","2004-10-01",172737,10,2004,"Übergang"
"Burgenland","2004-11-01",118134,11,2004,"Übergang"
"Burgenland","2004-12-01",78973,12,2004,"Winter_Haupt"
"Burgenland","2005-01-01",89884,1,2005,"Winter_Haupt"
"Burgenland","2005-02-01",89857,2,2005,"Winter_Haupt"
"Burgenland","2005-03-01",124944,3,2005,"Winter_Haupt"
"Burgenland","2005-04-01",148473,4,2005,"Übergang"
"Burgenland","2005-05-01",286438,5,2005,"Sommer_Neben"
"Burgenland","2005-06-01",250827,6,2005,"Sommer_Neben"
"Burgenland","2005-07-01",382370,7,2005,"Sommer_Haupt"
"Burgenland","2005-08-01",501990,8,2005,"Sommer_Haupt"
"Burgenland","2005-09-01",253491,9,2005,"Sommer_Neben"
"Burgenland","2005-10-01",187145,10,2005,"Übergang"
"Burgenland","2005-11-01",133931,11,2005,"Übergang"
"Burgenland","2005-12-01",91594,12,2005,"Winter_Haupt"
"Burgenland","2006-01-01",105660,1,2006,"Winter_Haupt"
"Burgenland","2006-02-01",104574,2,2006,"Winter_Haupt"
"Burgenland","2006-03-01",121577,3,2006,"Winter_Haupt"
"Burgenland","2006-04-01",181139,4,2006,"Übergang"
"Burgenland","2006-05-01",246989,5,2006,"Sommer_Neben"
"Burgenland","2006-06-01",282602,6,2006,"Sommer_Neben"
"Burgenland","2006-07-01",371702,7,2006,"Sommer_Haupt"
"Burgenland","2006-08-01",456240,8,2006,"Sommer_Haupt"
"Burgenland","2006-09-01",264192,9,2006,"Sommer_Neben"
"Burgenland","2006-10-01",188860,10,2006,"Übergang"
"Burgenland","2006-11-01",147352,11,2006,"Übergang"
"Burgenland","2006-12-01",105450,12,2006,"Winter_Haupt"
"Burgenland","2007-01-01",110186,1,2007,"Winter_Haupt"
"Burgenland","2007-02-01",114270,2,2007,"Winter_Haupt"
"Burgenland","2007-03-01",132432,3,2007,"Winter_Haupt"
"Burgenland","2007-04-01",198444,4,2007,"Übergang"
"Burgenland","2007-05-01",254648,5,2007,"Sommer_Neben"
"Burgenland","2007-06-01",277634,6,2007,"Sommer_Neben"
"Burgenland","2007-07-01",400787,7,2007,"Sommer_Haupt"
"Burgenland","2007-08-01",499088,8,2007,"Sommer_Haupt"
"Burgenland","2007-09-01",254082,9,2007,"Sommer_Neben"
"Burgenland","2007-10-01",195450,10,2007,"Übergang"
"Burgenland","2007-11-01",153732,11,2007,"Übergang"
"Burgenland","2007-12-01",107496,12,2007,"Winter_Haupt"
"Burgenland","2008-01-01",115574,1,2008,"Winter_Haupt"
"Burgenland","2008-02-01",126510,2,2008,"Winter_Haupt"
"Burgenland","2008-03-01",149395,3,2008,"Winter_Haupt"
"Burgenland","2008-04-01",168445,4,2008,"Übergang"
"Burgenland","2008-05-01",314316,5,2008,"Sommer_Neben"
"Burgenland","2008-06-01",262231,6,2008,"Sommer_Neben"
"Burgenland","2008-07-01",409177,7,2008,"Sommer_Haupt"
"Burgenland","2008-08-01",511319,8,2008,"Sommer_Haupt"
"Burgenland","2008-09-01",261904,9,2008,"Sommer_Neben"
"Burgenland","2008-10-01",202654,10,2008,"Übergang"
"Burgenland","2008-11-01",162900,11,2008,"Übergang"
"Burgenland","2008-12-01",123234,12,2008,"Winter_Haupt"
"Burgenland","2009-01-01",122288,1,2009,"Winter_Haupt"
"Burgenland","2009-02-01",123499,2,2009,"Winter_Haupt"
"Burgenland","2009-03-01",138842,3,2009,"Winter_Haupt"
"Burgenland","2009-04-01",206323,4,2009,"Übergang"
"Burgenland","2009-05-01",289084,5,2009,"Sommer_Neben"
"Burgenland","2009-06-01",286545,6,2009,"Sommer_Neben"
"Burgenland","2009-07-01",420141,7,2009,"Sommer_Haupt"
