valid_time,t2m,latitude,longitude
2025-01-18 16:00:00,272.79492,47.5,13.3
2025-01-18 17:00:00,271.45776,47.5,13.3
2025-01-18 18:00:00,270.30737,47.5,13.3
2025-01-18 19:00:00,269.25684,47.5,13.3
2025-01-18 20:00:00,268.1079,47.5,13.3
2025-01-18 21:00:00,267.3601,47.5,13.3
2025-01-18 22:00:00,267.61377,47.5,13.3
2025-01-18 23:00:00,267.1709,47.5,13.3
2025-01-19 00:00:00,266.90308,47.5,13.3
2025-01-19 01:00:00,266.5603,47.5,13.3
2025-01-19 02:00:00,266.18896,47.5,13.3
2025-01-19 03:00:00,265.9314,47.5,13.3
2025-01-19 04:00:00,265.59155,47.5,13.3
2025-01-19 05:00:00,265.33447,47.5,13.3
2025-01-19 06:00:00,264.7273,47.5,13.3
2025-01-19 07:00:00,264.79614,47.5,13.3
2025-01-19 08:00:00,266.2644,47.5,13.3
2025-01-19 09:00:00,269.37158,47.5,13.3
2025-01-19 10:00:00,272.58984,47.5,13.3
2025-01-19 11:00:00,274.37842,47.5,13.3
2025-01-19 12:00:00,276.12573,47.5,13.3
2025-01-19 13:00:00,276.80518,47.5,13.3
2025-01-19 14:00:00,276.79272,47.5,13.3
2025-01-19 15:00:00,276.2295,47.5,13.3
2025-01-19 16:00:00,273.91113,47.5,13.3
2025-01-19 17:00:00,272.28394,47.5,13.3
2025-01-19 18:00:00,271.36646,47.5,13.3
2025-01-19 19:00:00,270.4751,47.5,13.3
2025-01-19 20:00:00,269.615,47.5,13.3
2025-01-19 21:00:00,268.76172,47.5,13.3
2025-01-19 22:00:00,268.4497,47.5,13.3
2025-01-19 23:00:00,267.90625,47.5,13.3
2025-01-20 00:00:00,267.2168,47.5,13.3
2025-01-20 01:00:00,266.97656,47.5,13.3
2025-01-20 02:00:00,266.95068,47.5,13.3
2025-01-20 03:00:00,266.66357,47.5,13.3
2025-01-20 04:00:00,266.33203,47.5,13.3
2025-01-20 05:00:00,266.45605,47.5,13.3
2025-01-20 06:00:00,266.45605,47.5,13.3
2025-01-20 07:00:00,266.2876,47.5,13.3
2025-01-20 08:00:00,267.1167,47.5,13.3
2025-01-20 09:00:00,269.5354,47.5,13.3
2025-01-20 10:00:00,272.80737,47.5,13.3
2025-01-20 11:00:00,275.23462,47.5,13.3
2025-01-20 12:00:00,276.56763,47.5,13.3
2025-01-20 13:00:00,278.09424,47.5,13.3
2025-01-20 14:00:00,278.0371,47.5,13.3
2025-01-20 15:00:00,276.73193,47.5,13.3
2025-01-20 16:00:00,274.78125,47.5,13.3
2025-01-20 17:00:00,273.85913,47.5,13.3
2025-01-20 18:00:00,272.9873,47.5,13.3
2025-01-20 19:00:00,271.4453,47.5,13.3
2025-01-20 20:00:00,269.92773,47.5,13.3
2025-01-20 21:00:00,269.42725,47.5,13.3
2025-01-20 22:00:00,268.97412,47.5,13.3
2025-01-20 23:00:00,269.0254,47.5,13.3
2025-01-21 00:00:00,268.8545,47.5,13.3
2025-01-21 01:00:00,268.82178,47.5,13.3
2025-01-21 02:00:00,269.38306,47.5,13.3
2025-01-21 03:00:00,269.31104,47.5,13.3
2025-01-21 04:00:00,269.45654,47.5,13.3
